country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/1/2021,-82,-83,9,-71,-83,28
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/2/2021,-53,-15,7,-40,-23,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/3/2021,-58,-17,-1,-43,-14,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/4/2021,-36,0,-26,-40,-30,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/5/2021,-37,0,-11,-39,-30,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/6/2021,-36,-3,-14,-39,-28,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/7/2021,-44,-7,-26,-41,-29,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/8/2021,-46,-4,-22,-39,-27,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/9/2021,-43,-5,6,-34,-11,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/10/2021,-51,-14,25,-35,-11,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/11/2021,-36,-7,-16,-38,-28,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/12/2021,-40,-6,-13,-39,-29,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/13/2021,-41,-8,-10,-38,-28,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/14/2021,-50,-12,-27,-42,-31,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/15/2021,-49,-6,-16,-39,-29,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/16/2021,-51,-13,-6,-40,-16,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/17/2021,-58,-19,2,-43,-15,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/18/2021,-40,-10,-10,-39,-30,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/19/2021,-45,-11,-22,-41,-31,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/20/2021,-41,-8,-3,-37,-29,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/21/2021,-47,-10,-17,-40,-30,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/22/2021,-47,-3,0,-36,-28,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/23/2021,-46,-7,-5,-35,-12,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/24/2021,-56,-17,14,-39,-14,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/25/2021,-39,-8,-1,-38,-31,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/26/2021,-39,-5,9,-37,-30,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/27/2021,-43,-9,-14,-38,-29,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/28/2021,-46,-5,-25,-40,-31,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/29/2021,-45,0,-13,-37,-30,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/30/2021,-47,-7,-35,-39,-14,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,1/31/2021,-52,-15,16,-34,-12,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/1/2021,-39,-6,-11,-37,-30,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/2/2021,-40,-2,-9,-37,-30,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/3/2021,-42,-9,-21,-39,-29,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/4/2021,-42,-2,10,-35,-29,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/5/2021,-43,3,6,-34,-27,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/6/2021,-43,-1,-12,-35,-11,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/7/2021,-60,-20,-4,-43,-17,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/8/2021,-43,-12,-14,-41,-38,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/9/2021,-41,-3,6,-40,-37,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/10/2021,-40,-4,-6,-41,-34,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/11/2021,-42,1,0,-41,-35,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/12/2021,-44,2,-5,-40,-34,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/13/2021,-37,1,26,-32,-13,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/14/2021,-43,-4,43,-32,-9,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/15/2021,-33,-6,-7,-45,-45,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/16/2021,-29,2,39,-40,-44,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/17/2021,-32,-3,36,-38,-40,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/18/2021,-37,-1,2,-43,-43,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/19/2021,-38,6,43,-37,-42,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/20/2021,-37,1,92,-19,-10,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/21/2021,-38,9,126,-12,-5,3
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2/22/2021,-32,0,27,-32,-26,11
