Data,NEW_CASES,Confirmados,NEW_RECOVERED,Rt,At,Óbitos
03/01/2021,436,97728,392,93216,4512,0
03/02/2021,369,98097,297,93513,4584,0
03/03/2021,396,98493,348,93861,4632,0
03/04/2021,378,98871,315,94176,4695,0
03/05/2021,402,99273,390,94566,4707,0
03/06/2021,228,99501,206,94772,4729,0
03/07/2021,160,99661,169,94941,4720,0
03/08/2021,509,100170,482,95423,4747,0
03/09/2021,467,100637,400,95823,4814,0
03/10/2021,427,101064,411,96234,4830,0
03/11/2021,490,101554,366,96600,4954,0
03/12/2021,524,102078,361,96961,5117,0
03/13/2021,289,102367,203,97164,5203,0
03/14/2021,260,102627,128,97292,5335,0
03/15/2021,711,103338,436,97728,5610,0
03/16/2021,616,103954,369,98097,5857,0
03/17/2021,684,104638,396,98493,6145,0
03/18/2021,633,105271,378,98871,6400,0
03/19/2021,684,105955,402,99273,6682,0
03/20/2021,402,106357,228,99501,6856,0
03/21/2021,300,106657,160,99661,6996,0
03/22/2021,856,107513,509,100170,7343,0
03/23/2021,724,108237,467,100637,7600,0
03/24/2021,694,108931,427,101064,7867,0
03/25/2021,722,109653,490,101554,8099,0
03/26/2021,683,110336,524,102078,8258,0
03/27/2021,385,110721,289,102367,8354,0
03/28/2021,302,111023,260,102627,8396,0
03/29/2021,806,111829,711,103338,8491,0
03/30/2021,625,112454,616,103954,8500,0
03/31/2021,573,113027,684,104638,8389,0
04/01/2021,560,113587,633,105271,8316,0
04/02/2021,624,114211,684,105955,8256,0
04/03/2021,303,114514,402,106357,8157,0
04/04/2021,225,114739,300,106657,8082,0
04/05/2021,278,115017,856,107513,7504,0
04/06/2021,718,115735,724,108237,7498,0
04/07/2021,572,116307,694,108931,7376,0
04/08/2021,569,116876,722,109653,7223,0
04/09/2021,558,117434,683,110336,7098,0
04/10/2021,306,117740,385,110721,7019,0
04/11/2021,247,117987,302,111023,6964,0
04/12/2021,574,118561,806,111829,6732,0
04/13/2021,537,119098,625,112454,6644,0
04/14/2021,500,119598,573,113027,6571,0
04/15/2021,535,120133,560,113587,6546,0
04/16/2021,535,120668,624,114211,6457,0
04/17/2021,325,120993,303,114514,6479,0
04/18/2021,248,121241,225,114739,6502,0
04/19/2021,694,121935,278,115017,6918,0
04/20/2021,622,122557,718,115735,6822,0
04/21/2021,598,123155,572,116307,6848,0
04/22/2021,547,123702,569,116876,6826,0
04/23/2021,491,124193,558,117434,6759,0
04/24/2021,239,124432,306,117740,6692,0
04/25/2021,202,124634,247,117987,6647,0
04/26/2021,572,125206,574,118561,6645,0
04/27/2021,499,125705,537,119098,6607,0
04/28/2021,550,126255,500,119598,6657,0
04/29/2021,496,126751,535,120133,6618,0
04/30/2021,466,127217,535,120668,6549,0
05/01/2021,210,127427,325,120993,6434,0
05/02/2021,231,127658,248,121241,6417,0
05/03/2021,643,128301,694,121935,6366,0
05/04/2021,539,128840,622,122557,6283,0
05/05/2021,488,129328,598,123155,6173,0
05/06/2021,533,129861,547,123702,6159,0
05/07/2021,471,130332,491,124193,6139,0
05/08/2021,336,130668,239,124432,6236,0
05/09/2021,207,130875,202,124634,6241,0
05/10/2021,558,131433,572,125206,6227,0
05/11/2021,462,131895,499,125705,6190,0
05/12/2021,442,132337,550,126255,6082,0
05/13/2021,190,132527,496,126751,5776,0
05/14/2021,351,132878,466,127217,5661,0
05/15/2021,244,133122,210,127427,5695,0
05/16/2021,184,133306,231,127658,5648,0
05/17/2021,569,133875,643,128301,5574,0
05/18/2021,488,134363,539,128840,5523,0
05/19/2021,534,134897,488,129328,5569,0
05/20/2021,321,135218,533,129861,5357,0
05/21/2021,389,135607,471,130332,5275,0
05/22/2021,225,135832,336,130668,5164,0
05/23/2021,169,136001,207,130875,5126,0
05/24/2021,84,136085,558,131433,4652,0
05/25/2021,2,136087,462,131895,4192,0
