Data,NEW_CASES,Confirmados,NEW_RECOVERED,Rt,At,Óbitos
03/01/2021,434,96136,302,91906,4230,0
03/02/2021,357,96493,287,92193,4300,0
03/03/2021,376,96869,281,92474,4395,0
03/04/2021,325,97194,314,92788,4406,0
03/05/2021,340,97534,324,93112,4422,0
03/06/2021,206,97740,220,93332,4408,0
03/07/2021,103,97843,103,93435,4408,0
03/08/2021,495,98338,418,93853,4485,0
03/09/2021,453,98791,335,94188,4603,0
03/10/2021,479,99270,340,94528,4742,0
03/11/2021,479,99749,350,94878,4871,0
03/12/2021,485,100234,400,95278,4956,0
03/13/2021,352,100586,291,95569,5017,0
03/14/2021,215,100801,133,95702,5099,0
03/15/2021,652,101453,434,96136,5317,0
03/16/2021,647,102100,357,96493,5607,0
03/17/2021,590,102690,376,96869,5821,0
03/18/2021,678,103368,325,97194,6174,0
03/19/2021,593,103961,340,97534,6427,0
03/20/2021,365,104326,206,97740,6586,0
03/21/2021,212,104538,103,97843,6695,0
03/22/2021,739,105277,495,98338,6939,0
03/23/2021,752,106029,453,98791,7238,0
03/24/2021,732,106761,479,99270,7491,0
03/25/2021,715,107476,479,99749,7727,0
03/26/2021,757,108233,485,100234,7999,0
03/27/2021,421,108654,352,100586,8068,0
03/28/2021,253,108907,215,100801,8106,0
03/29/2021,655,109562,652,101453,8109,0
03/30/2021,541,110103,647,102100,8003,0
03/31/2021,531,110634,590,102690,7944,0
04/01/2021,610,111244,678,103368,7876,0
04/02/2021,561,111805,593,103961,7844,0
04/03/2021,449,112254,365,104326,7928,0
04/04/2021,202,112456,212,104538,7918,0
04/05/2021,248,112704,739,105277,7427,0
04/06/2021,529,113233,752,106029,7204,0
04/07/2021,493,113726,732,106761,6965,0
04/08/2021,540,114266,715,107476,6790,0
04/09/2021,504,114770,757,108233,6537,0
04/10/2021,282,115052,421,108654,6398,0
04/11/2021,165,115217,253,108907,6310,0
04/12/2021,484,115701,655,109562,6139,0
04/13/2021,409,116110,541,110103,6007,0
04/14/2021,486,116596,531,110634,5962,0
04/15/2021,414,117010,610,111244,5766,0
04/16/2021,515,117525,561,111805,5720,0
04/17/2021,389,117914,449,112254,5660,0
04/18/2021,274,118188,202,112456,5732,0
04/19/2021,631,118819,248,112704,6115,0
04/20/2021,555,119374,529,113233,6141,0
04/21/2021,448,119822,493,113726,6096,0
04/22/2021,443,120265,540,114266,5999,0
04/23/2021,423,120688,504,114770,5918,0
04/24/2021,249,120937,282,115052,5885,0
04/25/2021,180,121117,165,115217,5900,0
04/26/2021,408,121525,484,115701,5824,0
04/27/2021,415,121940,409,116110,5830,0
04/28/2021,356,122296,486,116596,5700,0
04/29/2021,361,122657,414,117010,5647,0
04/30/2021,348,123005,515,117525,5480,0
05/01/2021,200,123205,389,117914,5291,0
05/02/2021,171,123376,274,118188,5188,0
05/03/2021,415,123791,631,118819,4972,0
05/04/2021,374,124165,555,119374,4791,0
05/05/2021,376,124541,448,119822,4719,0
05/06/2021,376,124917,443,120265,4652,0
05/07/2021,275,125192,423,120688,4504,0
05/08/2021,187,125379,249,120937,4442,0
05/09/2021,133,125512,180,121117,4395,0
05/10/2021,277,125789,408,121525,4264,0
05/11/2021,271,126060,415,121940,4120,0
05/12/2021,263,126323,356,122296,4027,0
05/13/2021,140,126463,361,122657,3806,0
05/14/2021,247,126710,348,123005,3705,0
05/15/2021,197,126907,200,123205,3702,0
05/16/2021,130,127037,171,123376,3661,0
05/17/2021,361,127398,415,123791,3607,0
05/18/2021,306,127704,374,124165,3539,0
05/19/2021,397,128101,376,124541,3560,0
05/20/2021,232,128333,376,124917,3416,0
05/21/2021,259,128592,275,125192,3400,0
05/22/2021,229,128821,187,125379,3442,0
05/23/2021,61,128882,133,125512,3370,0
05/24/2021,78,128960,277,125789,3171,0
05/25/2021,0,128960,271,126060,2900,0
