Data,NEW_CASES,Confirmados,NEW_RECOVERED,Rt,At,Óbitos
03/01/2021,191,38713,187,36959,1754,0
03/02/2021,132,38845,162,37121,1724,0
03/03/2021,194,39039,170,37291,1748,0
03/04/2021,164,39203,145,37436,1767,0
03/05/2021,149,39352,149,37585,1767,0
03/06/2021,74,39426,63,37648,1778,0
03/07/2021,69,39495,48,37696,1799,0
03/08/2021,225,39720,170,37866,1854,0
03/09/2021,206,39926,157,38023,1903,0
03/10/2021,185,40111,130,38153,1958,0
03/11/2021,197,40308,140,38293,2015,0
03/12/2021,213,40521,132,38425,2096,0
03/13/2021,127,40648,62,38487,2161,0
03/14/2021,86,40734,35,38522,2212,0
03/15/2021,344,41078,191,38713,2365,0
03/16/2021,260,41338,132,38845,2493,0
03/17/2021,241,41579,194,39039,2540,0
03/18/2021,308,41887,164,39203,2684,0
03/19/2021,326,42213,149,39352,2861,0
03/20/2021,173,42386,74,39426,2960,0
03/21/2021,150,42536,69,39495,3041,0
03/22/2021,451,42987,225,39720,3267,0
03/23/2021,359,43346,206,39926,3420,0
03/24/2021,334,43680,185,40111,3569,0
03/25/2021,388,44068,197,40308,3760,0
03/26/2021,375,44443,213,40521,3922,0
03/27/2021,144,44587,127,40648,3939,0
03/28/2021,201,44788,86,40734,4054,0
03/29/2021,429,45217,344,41078,4139,0
03/30/2021,407,45624,260,41338,4286,0
03/31/2021,355,45979,241,41579,4400,0
04/01/2021,347,46326,308,41887,4439,0
04/02/2021,389,46715,326,42213,4502,0
04/03/2021,167,46882,173,42386,4496,0
04/04/2021,109,46991,150,42536,4455,0
04/05/2021,110,47101,451,42987,4114,0
04/06/2021,393,47494,359,43346,4148,0
04/07/2021,402,47896,334,43680,4216,0
04/08/2021,332,48228,388,44068,4160,0
04/09/2021,337,48565,375,44443,4122,0
04/10/2021,171,48736,144,44587,4149,0
04/11/2021,138,48874,201,44788,4086,0
04/12/2021,424,49298,429,45217,4081,0
04/13/2021,375,49673,407,45624,4049,0
04/14/2021,359,50032,355,45979,4053,0
04/15/2021,300,50332,347,46326,4006,0
04/16/2021,390,50722,389,46715,4007,0
04/17/2021,173,50895,167,46882,4013,0
04/18/2021,115,51010,109,46991,4019,0
04/19/2021,423,51433,110,47101,4332,0
04/20/2021,385,51818,393,47494,4324,0
04/21/2021,410,52228,402,47896,4332,0
04/22/2021,289,52517,332,48228,4289,0
04/23/2021,320,52837,337,48565,4272,0
04/24/2021,152,52989,171,48736,4253,0
04/25/2021,133,53122,138,48874,4248,0
04/26/2021,327,53449,424,49298,4151,0
04/27/2021,307,53756,375,49673,4083,0
04/28/2021,350,54106,359,50032,4074,0
04/29/2021,330,54436,300,50332,4104,0
04/30/2021,295,54731,390,50722,4009,0
05/01/2021,135,54866,173,50895,3971,0
05/02/2021,120,54986,115,51010,3976,0
05/03/2021,347,55333,423,51433,3900,0
05/04/2021,307,55640,385,51818,3822,0
05/05/2021,370,56010,410,52228,3782,0
05/06/2021,308,56318,289,52517,3801,0
05/07/2021,305,56623,320,52837,3786,0
05/08/2021,109,56732,152,52989,3743,0
05/09/2021,85,56817,133,53122,3695,0
05/10/2021,245,57062,327,53449,3613,0
05/11/2021,222,57284,307,53756,3528,0
05/12/2021,188,57472,350,54106,3366,0
05/13/2021,88,57560,330,54436,3124,0
05/14/2021,134,57694,295,54731,2963,0
05/15/2021,93,57787,135,54866,2921,0
05/16/2021,60,57847,120,54986,2861,0
05/17/2021,290,58137,347,55333,2804,0
05/18/2021,235,58372,307,55640,2732,0
05/19/2021,207,58579,370,56010,2569,0
05/20/2021,155,58734,308,56318,2416,0
05/21/2021,153,58887,305,56623,2264,0
05/22/2021,77,58964,109,56732,2232,0
05/23/2021,60,59024,85,56817,2207,0
05/24/2021,29,59053,245,57062,1991,0
05/25/2021,0,59053,222,57284,1769,0
