Data,NEW_CASES,Confirmados,NEW_RECOVERED,Rt,At,Óbitos
03/01/2021,149,40624,134,39046,1578,0
03/02/2021,172,40796,91,39137,1659,0
03/03/2021,178,40974,117,39254,1720,0
03/04/2021,161,41135,153,39407,1728,0
03/05/2021,215,41350,155,39562,1788,0
03/06/2021,112,41462,78,39640,1822,0
03/07/2021,40,41502,33,39673,1829,0
03/08/2021,225,41727,163,39836,1891,0
03/09/2021,210,41937,135,39971,1966,0
03/10/2021,224,42161,127,40098,2063,0
03/11/2021,222,42383,140,40238,2145,0
03/12/2021,265,42648,144,40382,2266,0
03/13/2021,150,42798,71,40453,2345,0
03/14/2021,51,42849,22,40475,2374,0
03/15/2021,365,43214,149,40624,2590,0
03/16/2021,306,43520,172,40796,2724,0
03/17/2021,313,43833,178,40974,2859,0
03/18/2021,414,44247,161,41135,3112,0
03/19/2021,421,44668,215,41350,3318,0
03/20/2021,304,44972,112,41462,3510,0
03/21/2021,97,45069,40,41502,3567,0
03/22/2021,401,45470,225,41727,3743,0
03/23/2021,542,46012,210,41937,4075,0
03/24/2021,356,46368,224,42161,4207,0
03/25/2021,491,46859,222,42383,4476,0
03/26/2021,424,47283,265,42648,4635,0
03/27/2021,238,47521,150,42798,4723,0
03/28/2021,111,47632,51,42849,4783,0
03/29/2021,411,48043,365,43214,4829,0
03/30/2021,439,48482,306,43520,4962,0
03/31/2021,340,48822,313,43833,4989,0
04/01/2021,352,49174,414,44247,4927,0
04/02/2021,343,49517,421,44668,4849,0
04/03/2021,200,49717,304,44972,4745,0
04/04/2021,94,49811,97,45069,4742,0
04/05/2021,64,49875,401,45470,4405,0
04/06/2021,372,50247,542,46012,4235,0
04/07/2021,321,50568,356,46368,4200,0
04/08/2021,262,50830,491,46859,3971,0
04/09/2021,278,51108,424,47283,3825,0
04/10/2021,186,51294,238,47521,3773,0
04/11/2021,63,51357,111,47632,3725,0
04/12/2021,256,51613,411,48043,3570,0
04/13/2021,281,51894,439,48482,3412,0
04/14/2021,239,52133,340,48822,3311,0
04/15/2021,258,52391,352,49174,3217,0
04/16/2021,227,52618,343,49517,3101,0
04/17/2021,150,52768,200,49717,3051,0
04/18/2021,81,52849,94,49811,3038,0
04/19/2021,294,53143,64,49875,3268,0
04/20/2021,239,53382,372,50247,3135,0
04/21/2021,233,53615,321,50568,3047,0
04/22/2021,271,53886,262,50830,3056,0
04/23/2021,234,54120,278,51108,3012,0
04/24/2021,133,54253,186,51294,2959,0
04/25/2021,68,54321,63,51357,2964,0
04/26/2021,247,54568,256,51613,2955,0
04/27/2021,232,54800,281,51894,2906,0
04/28/2021,209,55009,239,52133,2876,0
04/29/2021,199,55208,258,52391,2817,0
04/30/2021,214,55422,227,52618,2804,0
05/01/2021,93,55515,150,52768,2747,0
05/02/2021,46,55561,81,52849,2712,0
05/03/2021,216,55777,294,53143,2634,0
05/04/2021,219,55996,239,53382,2614,0
05/05/2021,228,56224,233,53615,2609,0
05/06/2021,211,56435,271,53886,2549,0
05/07/2021,183,56618,234,54120,2498,0
05/08/2021,82,56700,133,54253,2447,0
05/09/2021,42,56742,68,54321,2421,0
05/10/2021,165,56907,247,54568,2339,0
05/11/2021,162,57069,232,54800,2269,0
05/12/2021,134,57203,209,55009,2194,0
05/13/2021,39,57242,199,55208,2034,0
05/14/2021,156,57398,214,55422,1976,0
05/15/2021,49,57447,93,55515,1932,0
05/16/2021,20,57467,46,55561,1906,0
05/17/2021,160,57627,216,55777,1850,0
05/18/2021,139,57766,219,55996,1770,0
05/19/2021,136,57902,228,56224,1678,0
05/20/2021,97,57999,211,56435,1564,0
05/21/2021,96,58095,183,56618,1477,0
05/22/2021,62,58157,82,56700,1457,0
05/23/2021,45,58202,42,56742,1460,0
05/24/2021,6,58208,165,56907,1301,0
05/25/2021,0,58208,162,57069,1139,0
