Data,NEW_CASES,Confirmados,NEW_RECOVERED,Rt,At,Óbitos
03/01/2021,540,84245,527,78905,5340,0
03/02/2021,418,84663,405,79310,5353,0
03/03/2021,411,85074,448,79758,5316,0
03/04/2021,391,85465,441,80199,5266,0
03/05/2021,383,85848,443,80642,5206,0
03/06/2021,218,86066,267,80909,5157,0
03/07/2021,127,86193,119,81028,5165,0
03/08/2021,601,86794,594,81622,5172,0
03/09/2021,457,87251,489,82111,5140,0
03/10/2021,615,87866,473,82584,5282,0
03/11/2021,523,88389,391,82975,5414,0
03/12/2021,548,88937,412,83387,5550,0
03/13/2021,284,89221,198,83585,5636,0
03/14/2021,248,89469,120,83705,5764,0
03/15/2021,908,90377,540,84245,6132,0
03/16/2021,714,91091,418,84663,6428,0
03/17/2021,747,91838,411,85074,6764,0
03/18/2021,735,92573,391,85465,7108,0
03/19/2021,799,93372,383,85848,7524,0
03/20/2021,354,93726,218,86066,7660,0
03/21/2021,185,93911,127,86193,7718,0
03/22/2021,966,94877,601,86794,8083,0
03/23/2021,866,95743,457,87251,8492,0
03/24/2021,850,96593,615,87866,8727,0
03/25/2021,702,97295,523,88389,8906,0
03/26/2021,813,98108,548,88937,9171,0
03/27/2021,368,98476,284,89221,9255,0
03/28/2021,218,98694,248,89469,9225,0
03/29/2021,943,99637,908,90377,9260,0
03/30/2021,679,100316,714,91091,9225,0
03/31/2021,628,100944,747,91838,9106,0
04/01/2021,660,101604,735,92573,9031,0
04/02/2021,669,102273,799,93372,8901,0
04/03/2021,320,102593,354,93726,8867,0
04/04/2021,197,102790,185,93911,8879,0
04/05/2021,234,103024,966,94877,8147,0
04/06/2021,758,103782,866,95743,8039,0
04/07/2021,575,104357,850,96593,7764,0
04/08/2021,635,104992,702,97295,7697,0
04/09/2021,632,105624,813,98108,7516,0
04/10/2021,359,105983,368,98476,7507,0
04/11/2021,169,106152,218,98694,7458,0
04/12/2021,691,106843,943,99637,7206,0
04/13/2021,534,107377,679,100316,7061,0
04/14/2021,497,107874,628,100944,6930,0
04/15/2021,496,108370,660,101604,6766,0
04/16/2021,522,108892,669,102273,6619,0
04/17/2021,230,109122,320,102593,6529,0
04/18/2021,132,109254,197,102790,6464,0
04/19/2021,815,110069,234,103024,7045,0
04/20/2021,543,110612,758,103782,6830,0
04/21/2021,471,111083,575,104357,6726,0
04/22/2021,435,111518,635,104992,6526,0
04/23/2021,421,111939,632,105624,6315,0
04/24/2021,200,112139,359,105983,6156,0
04/25/2021,128,112267,169,106152,6115,0
04/26/2021,598,112865,691,106843,6022,0
04/27/2021,431,113296,534,107377,5919,0
04/28/2021,361,113657,497,107874,5783,0
04/29/2021,398,114055,496,108370,5685,0
04/30/2021,432,114487,522,108892,5595,0
05/01/2021,154,114641,230,109122,5519,0
05/02/2021,141,114782,132,109254,5528,0
05/03/2021,569,115351,815,110069,5282,0
05/04/2021,431,115782,543,110612,5170,0
05/05/2021,426,116208,471,111083,5125,0
05/06/2021,392,116600,435,111518,5082,0
05/07/2021,389,116989,421,111939,5050,0
05/08/2021,150,117139,200,112139,5000,0
05/09/2021,79,117218,128,112267,4951,0
05/10/2021,403,117621,598,112865,4756,0
05/11/2021,364,117985,431,113296,4689,0
05/12/2021,307,118292,361,113657,4635,0
05/13/2021,74,118366,398,114055,4311,0
05/14/2021,343,118709,432,114487,4222,0
05/15/2021,128,118837,154,114641,4196,0
05/16/2021,69,118906,141,114782,4124,0
05/17/2021,416,119322,569,115351,3971,0
05/18/2021,335,119657,431,115782,3875,0
05/19/2021,303,119960,426,116208,3752,0
05/20/2021,244,120204,392,116600,3604,0
05/21/2021,228,120432,389,116989,3443,0
05/22/2021,120,120552,150,117139,3413,0
05/23/2021,82,120634,79,117218,3416,0
05/24/2021,54,120688,403,117621,3067,0
05/25/2021,0,120688,364,117985,2703,0
