Data,NEW_CASES,Confirmados,NEW_RECOVERED,Rt,At,Óbitos
03/01/2021,280,59956,283,57120,2836,0
03/02/2021,241,60197,194,57314,2883,0
03/03/2021,218,60415,219,57533,2882,0
03/04/2021,225,60640,237,57770,2870,0
03/05/2021,201,60841,306,58076,2765,0
03/06/2021,125,60966,141,58217,2749,0
03/07/2021,66,61032,64,58281,2751,0
03/08/2021,304,61336,312,58593,2743,0
03/09/2021,258,61594,231,58824,2770,0
03/10/2021,230,61824,229,59053,2771,0
03/11/2021,268,62092,216,59269,2823,0
03/12/2021,295,62387,216,59485,2902,0
03/13/2021,164,62551,121,59606,2945,0
03/14/2021,114,62665,70,59676,2989,0
03/15/2021,442,63107,280,59956,3151,0
03/16/2021,322,63429,241,60197,3232,0
03/17/2021,399,63828,218,60415,3413,0
03/18/2021,378,64206,225,60640,3566,0
03/19/2021,394,64600,201,60841,3759,0
03/20/2021,160,64760,125,60966,3794,0
03/21/2021,154,64914,66,61032,3882,0
03/22/2021,481,65395,304,61336,4059,0
03/23/2021,454,65849,258,61594,4255,0
03/24/2021,450,66299,230,61824,4475,0
03/25/2021,401,66700,268,62092,4608,0
03/26/2021,405,67105,295,62387,4718,0
03/27/2021,222,67327,164,62551,4776,0
03/28/2021,154,67481,114,62665,4816,0
03/29/2021,492,67973,442,63107,4866,0
03/30/2021,368,68341,322,63429,4912,0
03/31/2021,313,68654,399,63828,4826,0
04/01/2021,278,68932,378,64206,4726,0
04/02/2021,335,69267,394,64600,4667,0
04/03/2021,181,69448,160,64760,4688,0
04/04/2021,141,69589,154,64914,4675,0
04/05/2021,139,69728,481,65395,4333,0
04/06/2021,383,70111,454,65849,4262,0
04/07/2021,308,70419,450,66299,4120,0
04/08/2021,302,70721,401,66700,4021,0
04/09/2021,288,71009,405,67105,3904,0
04/10/2021,145,71154,222,67327,3827,0
04/11/2021,97,71251,154,67481,3770,0
04/12/2021,314,71565,492,67973,3592,0
04/13/2021,233,71798,368,68341,3457,0
04/14/2021,238,72036,313,68654,3382,0
04/15/2021,244,72280,278,68932,3348,0
04/16/2021,276,72556,335,69267,3289,0
04/17/2021,158,72714,181,69448,3266,0
04/18/2021,99,72813,141,69589,3224,0
04/19/2021,454,73267,139,69728,3539,0
04/20/2021,274,73541,383,70111,3430,0
04/21/2021,288,73829,308,70419,3410,0
04/22/2021,250,74079,302,70721,3358,0
04/23/2021,251,74330,288,71009,3321,0
04/24/2021,129,74459,145,71154,3305,0
04/25/2021,116,74575,97,71251,3324,0
04/26/2021,333,74908,314,71565,3343,0
04/27/2021,276,75184,233,71798,3386,0
04/28/2021,298,75482,238,72036,3446,0
04/29/2021,259,75741,244,72280,3461,0
04/30/2021,233,75974,276,72556,3418,0
05/01/2021,99,76073,158,72714,3359,0
05/02/2021,108,76181,99,72813,3368,0
05/03/2021,309,76490,454,73267,3223,0
05/04/2021,260,76750,274,73541,3209,0
05/05/2021,234,76984,288,73829,3155,0
05/06/2021,211,77195,250,74079,3116,0
05/07/2021,272,77467,251,74330,3137,0
05/08/2021,90,77557,129,74459,3098,0
05/09/2021,79,77636,116,74575,3061,0
05/10/2021,245,77881,333,74908,2973,0
05/11/2021,187,78068,276,75184,2884,0
05/12/2021,202,78270,298,75482,2788,0
05/13/2021,70,78340,259,75741,2599,0
05/14/2021,184,78524,233,75974,2550,0
05/15/2021,72,78596,99,76073,2523,0
05/16/2021,49,78645,108,76181,2464,0
05/17/2021,273,78918,309,76490,2428,0
05/18/2021,246,79164,260,76750,2414,0
05/19/2021,227,79391,234,76984,2407,0
05/20/2021,179,79570,211,77195,2375,0
05/21/2021,191,79761,272,77467,2294,0
05/22/2021,119,79880,90,77557,2323,0
05/23/2021,54,79934,79,77636,2298,0
05/24/2021,21,79955,245,77881,2074,0
05/25/2021,0,79955,187,78068,1887,0
