country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,Brussels,Brussels,2/15/2020,11.0,8.0,89.0,18,1.0,-1
BE,Belgium,Brussels,Brussels,2/16/2020,-1.0,-2.0,-1.0,8,-5.0,1
BE,Belgium,Brussels,Brussels,2/17/2020,2.0,1.0,15.0,4,4.0,0
BE,Belgium,Brussels,Brussels,2/18/2020,6.0,3.0,20.0,7,5.0,-1
BE,Belgium,Brussels,Brussels,2/19/2020,0.0,1.0,10.0,3,5.0,-1
BE,Belgium,Brussels,Brussels,2/20/2020,-4.0,-3.0,6.0,3,3.0,0
BE,Belgium,Brussels,Brussels,2/21/2020,1.0,1.0,3.0,7,2.0,0
BE,Belgium,Brussels,Brussels,2/22/2020,-6.0,-4.0,-12.0,4,-1.0,0
BE,Belgium,Brussels,Brussels,2/23/2020,-9.0,-13.0,-34.0,0,-5.0,0
BE,Belgium,Brussels,Brussels,2/24/2020,3.0,-5.0,-21.0,-9,-18.0,3
BE,Belgium,Brussels,Brussels,2/25/2020,3.0,-1.0,-3.0,-7,-17.0,3
BE,Belgium,Brussels,Brussels,2/26/2020,-4.0,-5.0,-22.0,-9,-16.0,2
BE,Belgium,Brussels,Brussels,2/27/2020,-8.0,-7.0,-35.0,-13,-18.0,4
BE,Belgium,Brussels,Brussels,2/28/2020,-3.0,-3.0,-16.0,-7,-18.0,4
BE,Belgium,Brussels,Brussels,2/29/2020,-7.0,-1.0,-24.0,-2,-2.0,0
BE,Belgium,Brussels,Brussels,3/1/2020,-5.0,1.0,10.0,7,-4.0,-1
BE,Belgium,Brussels,Brussels,3/2/2020,-8.0,1.0,-21.0,-1,2.0,1
BE,Belgium,Brussels,Brussels,3/3/2020,2.0,7.0,6.0,-2,3.0,0
BE,Belgium,Brussels,Brussels,3/4/2020,-3.0,4.0,-10.0,-1,3.0,0
BE,Belgium,Brussels,Brussels,3/5/2020,-6.0,-2.0,-20.0,0,2.0,1
BE,Belgium,Brussels,Brussels,3/6/2020,-2.0,3.0,-8.0,6,0.0,1
BE,Belgium,Brussels,Brussels,3/7/2020,2.0,1.0,29.0,6,1.0,0
BE,Belgium,Brussels,Brussels,3/8/2020,-5.0,-9.0,-16.0,3,-5.0,1
BE,Belgium,Brussels,Brussels,3/9/2020,-5.0,2.0,2.0,-4,0.0,1
BE,Belgium,Brussels,Brussels,3/10/2020,-10.0,2.0,-14.0,-8,0.0,2
BE,Belgium,Brussels,Brussels,3/11/2020,-12.0,3.0,-15.0,-7,-1.0,2
BE,Belgium,Brussels,Brussels,3/12/2020,-13.0,16.0,-7.0,-10,-4.0,3
BE,Belgium,Brussels,Brussels,3/13/2020,-19.0,32.0,-23.0,-19,-14.0,7
BE,Belgium,Brussels,Brussels,3/14/2020,-73.0,-13.0,1.0,-41,-33.0,12
BE,Belgium,Brussels,Brussels,3/15/2020,-70.0,-27.0,13.0,-44,-37.0,9
BE,Belgium,Brussels,Brussels,3/16/2020,-50.0,2.0,-13.0,-51,-47.0,18
BE,Belgium,Brussels,Brussels,3/17/2020,-55.0,13.0,28.0,-57,-55.0,19
BE,Belgium,Brussels,Brussels,3/18/2020,-73.0,-16.0,11.0,-66,-64.0,24
BE,Belgium,Brussels,Brussels,3/19/2020,-83.0,-35.0,-34.0,-77,-72.0,31
BE,Belgium,Brussels,Brussels,3/20/2020,-85.0,-37.0,-57.0,-78,-72.0,35
BE,Belgium,Brussels,Brussels,3/21/2020,-88.0,-48.0,-35.0,-76,-60.0,24
BE,Belgium,Brussels,Brussels,3/22/2020,-86.0,-56.0,-23.0,-76,-58.0,17
BE,Belgium,Brussels,Brussels,3/23/2020,-83.0,-38.0,-35.0,-79,-75.0,31
BE,Belgium,Brussels,Brussels,3/24/2020,-84.0,-35.0,-29.0,-80,-76.0,32
BE,Belgium,Brussels,Brussels,3/25/2020,-85.0,-38.0,-35.0,-79,-75.0,31
BE,Belgium,Brussels,Brussels,3/26/2020,-85.0,-38.0,-43.0,-81,-76.0,34
BE,Belgium,Brussels,Brussels,3/27/2020,-85.0,-36.0,-40.0,-79,-75.0,36
BE,Belgium,Brussels,Brussels,3/28/2020,-88.0,-47.0,-36.0,-77,-62.0,24
BE,Belgium,Brussels,Brussels,3/29/2020,-89.0,-65.0,-64.0,-82,-62.0,19
BE,Belgium,Brussels,Brussels,3/30/2020,-85.0,-42.0,-47.0,-81,-76.0,32
BE,Belgium,Brussels,Brussels,3/31/2020,-84.0,-37.0,-35.0,-81,-76.0,32
BE,Belgium,Brussels,Brussels,4/1/2020,-85.0,-39.0,-28.0,-80,-75.0,31
BE,Belgium,Brussels,Brussels,4/2/2020,-86.0,-41.0,-55.0,-82,-77.0,34
BE,Belgium,Brussels,Brussels,4/3/2020,-85.0,-37.0,-42.0,-80,-75.0,36
BE,Belgium,Brussels,Brussels,4/4/2020,-87.0,-44.0,-20.0,-74,-61.0,24
BE,Belgium,Brussels,Brussels,4/5/2020,-84.0,-49.0,9.0,-72,-57.0,17
BE,Belgium,Brussels,Brussels,4/6/2020,-83.0,-39.0,-22.0,-79,-75.0,31
BE,Belgium,Brussels,Brussels,4/7/2020,-82.0,-32.0,-4.0,-79,-75.0,31
BE,Belgium,Brussels,Brussels,4/8/2020,-83.0,-35.0,-11.0,-78,-74.0,29
BE,Belgium,Brussels,Brussels,4/9/2020,-83.0,-32.0,-14.0,-79,-75.0,32
BE,Belgium,Brussels,Brussels,4/10/2020,-83.0,-30.0,-14.0,-77,-75.0,34
BE,Belgium,Brussels,Brussels,4/11/2020,-86.0,-39.0,-6.0,-71,-57.0,22
BE,Belgium,Brussels,Brussels,4/12/2020,-84.0,-53.0,-8.0,-74,-56.0,17
BE,Belgium,Brussels,Brussels,4/13/2020,-89.0,-73.0,-26.0,-86,-90.0,37
BE,Belgium,Brussels,Brussels,4/14/2020,-82.0,-28.0,-32.0,-79,-75.0,31
BE,Belgium,Brussels,Brussels,4/15/2020,-82.0,-32.0,-18.0,-77,-73.0,29
BE,Belgium,Brussels,Brussels,4/16/2020,-83.0,-32.0,-14.0,-78,-74.0,31
BE,Belgium,Brussels,Brussels,4/17/2020,-82.0,-32.0,-17.0,-76,-73.0,34
BE,Belgium,Brussels,Brussels,4/18/2020,-86.0,-45.0,-48.0,-75,-56.0,24
BE,Belgium,Brussels,Brussels,4/19/2020,-85.0,-57.0,-26.0,-74,-54.0,17
BE,Belgium,Brussels,Brussels,4/20/2020,-78.0,-39.0,0.0,-76,-73.0,30
BE,Belgium,Brussels,Brussels,4/21/2020,-78.0,-33.0,-1.0,-77,-72.0,29
BE,Belgium,Brussels,Brussels,4/22/2020,-79.0,-33.0,2.0,-75,-70.0,28
BE,Belgium,Brussels,Brussels,4/23/2020,-79.0,-31.0,-2.0,-75,-71.0,29
BE,Belgium,Brussels,Brussels,4/24/2020,-80.0,-32.0,-19.0,-75,-70.0,32
BE,Belgium,Brussels,Brussels,4/25/2020,-83.0,-39.0,-8.0,-69,-51.0,21
BE,Belgium,Brussels,Brussels,4/26/2020,-80.0,-45.0,23.0,-67,-50.0,15
BE,Belgium,Brussels,Brussels,4/27/2020,-77.0,-38.0,5.0,-74,-70.0,28
BE,Belgium,Brussels,Brussels,4/28/2020,-81.0,-37.0,-48.0,-78,-71.0,28
BE,Belgium,Brussels,Brussels,4/29/2020,-79.0,-31.0,-36.0,-75,-69.0,28
BE,Belgium,Brussels,Brussels,4/30/2020,-76.0,-20.0,-35.0,-74,-69.0,29
BE,Belgium,Brussels,Brussels,5/1/2020,-86.0,-63.0,-29.0,-81,-86.0,39
BE,Belgium,Brussels,Brussels,5/2/2020,-81.0,-33.0,-28.0,-69,-50.0,21
BE,Belgium,Brussels,Brussels,5/3/2020,-79.0,-44.0,2.0,-67,-47.0,15
BE,Belgium,Brussels,Brussels,5/4/2020,-73.0,-29.0,-8.0,-70,-66.0,26
BE,Belgium,Brussels,Brussels,5/5/2020,-72.0,-23.0,19.0,-70,-66.0,26
BE,Belgium,Brussels,Brussels,5/6/2020,-73.0,-25.0,26.0,-67,-64.0,24
BE,Belgium,Brussels,Brussels,5/7/2020,-73.0,-24.0,13.0,-69,-65.0,26
BE,Belgium,Brussels,Brussels,5/8/2020,-74.0,-26.0,13.0,-66,-64.0,28
BE,Belgium,Brussels,Brussels,5/9/2020,-76.0,-28.0,47.0,-58,-41.0,16
BE,Belgium,Brussels,Brussels,5/10/2020,-76.0,-40.0,-26.0,-63,-38.0,12
BE,Belgium,Brussels,Brussels,5/11/2020,-59.0,-27.0,-15.0,-63,-61.0,23
BE,Belgium,Brussels,Brussels,5/12/2020,-60.0,-21.0,-4.0,-62,-61.0,23
BE,Belgium,Brussels,Brussels,5/13/2020,-62.0,-23.0,-15.0,-61,-60.0,22
BE,Belgium,Brussels,Brussels,5/14/2020,-63.0,-19.0,0.0,-61,-61.0,22
BE,Belgium,Brussels,Brussels,5/15/2020,-63.0,-18.0,15.0,-57,-59.0,24
BE,Belgium,Brussels,Brussels,5/16/2020,-65.0,-23.0,16.0,-47,-32.0,14
BE,Belgium,Brussels,Brussels,5/17/2020,-69.0,-27.0,68.0,-48,-29.0,10
BE,Belgium,Brussels,Brussels,5/18/2020,-53.0,-19.0,42.0,-54,-57.0,20
BE,Belgium,Brussels,Brussels,5/19/2020,-53.0,-12.0,50.0,-55,-56.0,20
BE,Belgium,Brussels,Brussels,5/20/2020,-50.0,-3.0,51.0,-52,-55.0,17
BE,Belgium,Brussels,Brussels,5/21/2020,-73.0,-46.0,85.0,-67,-81.0,25
BE,Belgium,Brussels,Brussels,5/22/2020,-54.0,-8.0,-11.0,-57,-65.0,24
BE,Belgium,Brussels,Brussels,5/23/2020,-59.0,-21.0,18.0,-44,-26.0,13
BE,Belgium,Brussels,Brussels,5/24/2020,-72.0,-33.0,16.0,-51,-23.0,8
BE,Belgium,Brussels,Brussels,5/25/2020,-49.0,-21.0,51.0,-52,-55.0,19
BE,Belgium,Brussels,Brussels,5/26/2020,-49.0,-13.0,65.0,-54,-53.0,18
BE,Belgium,Brussels,Brussels,5/27/2020,-52.0,-14.0,69.0,-51,-52.0,17
BE,Belgium,Brussels,Brussels,5/28/2020,-52.0,-11.0,54.0,-52,-53.0,19
BE,Belgium,Brussels,Brussels,5/29/2020,-52.0,-9.0,68.0,-48,-51.0,19
BE,Belgium,Brussels,Brussels,5/30/2020,-54.0,-15.0,79.0,-35,-10.0,8
BE,Belgium,Brussels,Brussels,5/31/2020,-63.0,-17.0,100.0,-38,-11.0,5
BE,Belgium,Brussels,Brussels,6/1/2020,-70.0,-53.0,146.0,-64,-79.0,22
