country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,Flanders,Antwerpen,2021-04-01,-37,12,86.0,-40,-37,14
BE,Belgium,Flanders,Antwerpen,2021-04-02,-44,17,42.0,-42,-38,16
BE,Belgium,Flanders,Antwerpen,2021-04-03,-48,11,40.0,-41,-10,10
BE,Belgium,Flanders,Antwerpen,2021-04-04,-55,-10,20.0,-36,-9,7
BE,Belgium,Flanders,Antwerpen,2021-04-05,-65,-62,13.0,-68,-82,26
BE,Belgium,Flanders,Antwerpen,2021-04-06,-41,12,-13.0,-50,-48,17
BE,Belgium,Flanders,Antwerpen,2021-04-07,-43,4,-3.0,-48,-45,16
BE,Belgium,Flanders,Antwerpen,2021-04-08,-37,12,59.0,-43,-45,16
BE,Belgium,Flanders,Antwerpen,2021-04-09,-42,11,74.0,-41,-43,16
BE,Belgium,Flanders,Antwerpen,2021-04-10,-55,-2,-30.0,-51,-13,13
BE,Belgium,Flanders,Antwerpen,2021-04-11,-52,0,26.0,-34,-6,8
BE,Belgium,Flanders,Antwerpen,2021-04-12,-34,2,34.0,-45,-43,14
BE,Belgium,Flanders,Antwerpen,2021-04-13,-31,8,84.0,-38,-42,13
BE,Belgium,Flanders,Antwerpen,2021-04-14,-36,3,53.0,-41,-39,12
BE,Belgium,Flanders,Antwerpen,2021-04-15,-38,8,55.0,-43,-41,15
BE,Belgium,Flanders,Antwerpen,2021-04-16,-41,10,80.0,-40,-39,14
BE,Belgium,Flanders,Antwerpen,2021-04-17,-46,3,80.0,-35,-4,9
BE,Belgium,Flanders,Antwerpen,2021-04-18,-41,13,91.0,-20,4,5
BE,Belgium,Flanders,Antwerpen,2021-04-19,-38,4,30.0,-34,-23,11
BE,Belgium,Flanders,Antwerpen,2021-04-20,-34,8,80.0,-28,-22,11
BE,Belgium,Flanders,Antwerpen,2021-04-21,-33,9,70.0,-29,-21,10
BE,Belgium,Flanders,Antwerpen,2021-04-22,-39,9,59.0,-31,-22,12
BE,Belgium,Flanders,Antwerpen,2021-04-23,-43,13,74.0,-28,-20,11
BE,Belgium,Flanders,Antwerpen,2021-04-24,-43,7,80.0,-33,0,8
BE,Belgium,Flanders,Antwerpen,2021-04-25,-42,12,74.0,-21,3,5
BE,Belgium,Flanders,Antwerpen,2021-04-26,-25,8,62.0,-29,-23,10
BE,Belgium,Flanders,Antwerpen,2021-04-27,-22,11,95.0,-24,-23,10
BE,Belgium,Flanders,Antwerpen,2021-04-28,-23,11,84.0,-25,-20,9
BE,Belgium,Flanders,Antwerpen,2021-04-29,-36,13,12.0,-33,-22,12
