<<<<<<< Updated upstream
PROVINCE,INFECTION_RATE,ICU_RATE,TEST_ALL,TEST_POS,TEST_POS_PERCENTAGE,TOTAL_TEST_PERCENTAGE,TOTAL_INFECTIONS,STANDARD_INFECTION,STANDARD_ICU,STANDARD_POS_TEST
Antwerpen,0.8416,16.2631,284109,16702,5.8787,15.1952,15735,-0.7372,0.7002,-1.0969
BrabantWallon,1.064,6.3889,58155,4642,7.9821,14.3233,4320,0.0384,-1.654,0.1553
Brussels,1.2256,18.6458,191241,16330,8.539,15.6979,14931,0.602,1.2682,0.4869
Hainaut,1.1697,16.8529,169695,16461,9.7003,12.5995,15754,0.407,0.8408,1.1782
Liege,0.6489,13.4287,106019,7708,7.2704,9.553,7201,-1.4092,0.0244,-0.2684
Limburg,0.8498,13.5461,126779,8215,6.4798,14.4499,7456,-0.7086,0.0524,-0.7391
Luxembourg,1.2481,11.9307,43312,3765,8.6927,15.1043,3579,0.6804,-0.3328,0.5784
Namur,1.6834,11.6689,77116,8590,11.1391,15.5528,8347,2.1985,-0.3952,2.0348
OostVlaanderen,1.1302,15.8081,267528,18743,7.006,17.5399,17238,0.2693,0.5917,-0.4258
VlaamsBrabant,0.7767,5.6917,167643,9772,5.8291,14.504,8978,-0.9635,-1.8202,-1.1265
WestVlaanderen,0.9448,16.3656,210240,13489,6.416,17.5062,11347,-0.3773,0.7246,-0.777
=======
PROVINCE,INFECTION_RATE,ICU_RATE,TEST_ALL,TEST_POS,TEST_POS_PERCENTAGE,TOTAL_TEST_PERCENTAGE,TOTAL_INFECTIONS,STANDARD_INFECTION,STANDARD_ICU,STANDARD_POS_TEST,POPULATION_DENSITY,STANDARD_POPULATION_DENSITY
Antwerpen,0.7523,17.4108,261975,15244,5.8189,14.0114,14066,-0.6816,0.6614,-1.0867,650.0876,-0.1685
BrabantWallon,0.9258,7.103,51882,4112,7.9257,12.7783,3759,-0.006,-1.6364,0.1592,370.0541,-0.2983
Brussels,1.0953,19.973,172612,14845,8.6002,14.1688,13343,0.6541,1.2325,0.5581,7500.6465,3.0059
Hainaut,1.022,18.409,153153,14680,9.5852,11.3713,13765,0.3686,0.8839,1.1407,353.2389,-0.3061
Li�ge,0.5583,14.7676,94742,6801,7.1784,8.5369,6196,-1.4371,0.0722,-0.2827,287.7291,-0.3364
Limburg,0.7296,15.0914,114906,7298,6.3513,13.0966,6401,-0.77,0.1444,-0.7718,361.4414,-0.3023
Luxembourg,1.0783,13.1953,39000,3321,8.5154,13.6006,3092,0.5879,-0.2783,0.508,64.3048,-0.4399
Namur,1.4965,12.5472,69601,7757,11.145,14.0372,7420,2.2164,-0.4228,2.0631,134.9287,-0.4072
OostVlaanderen,1.0058,16.935,245278,17073,6.9607,16.0811,15341,0.3055,0.5553,-0.4114,507.2247,-0.2347
VlaamsBrabant,0.688,5.9985,153045,8837,5.7741,13.241,7952,-0.932,-1.8826,-1.1132,545.6311,-0.2169
WestVlaanderen,0.8488,17.4514,194275,12367,6.3657,16.1768,10194,-0.3058,0.6704,-0.7633,375.6968,-0.2957
>>>>>>> Stashed changes
